Player,Freq,vip,BattleRatio,stay,interval_afternoon,interval_morning,interval_night,interval_noon
1039,0.2506426735218509,False,0.17212588310854207,False,1,0,0,0
1263,0.294770206022187,True,0.0518943011779688,True,1,0,0,0
2985,0.18128654970760233,False,0.0,False,0,0,0,1
4421,0.24049914917753829,False,0.20918367346938777,False,0,0,1,0
6316,0.2774616632994403,False,0.08323677095403631,True,0,0,1,0
6435,0.30938833570412516,False,0.0,False,0,0,1,0
8165,0.22442516481288582,False,0.059650053022269355,True,0,0,1,0
8614,0.14289735297640435,False,0.0,True,0,0,1,0
8857,0.26852506393975256,False,0.028790786948176585,True,0,0,1,0
10532,0.21992308030457355,False,0.028469750889679714,False,0,0,1,0
10771,0.1815668202764977,True,0.10582588546838795,True,0,1,0,0
11030,0.08333333333333333,False,0.0,False,0,0,0,1
11313,0.2757640187826358,True,0.023072962980296718,True,0,0,1,0
11482,0.23588039867109634,False,0.07206317867719644,True,0,0,1,0
12313,0.22620519159456118,True,0.034971589244918284,True,0,0,1,0
13186,0.2027391975308642,True,0.03198471171012598,True,0,0,1,0
13699,0.21045884281762567,False,0.35619834710743803,True,0,0,1,0
13859,0.2239433926180914,False,0.09445506692160612,False,0,0,1,0
15532,0.1598317560462671,False,0.0,False,0,0,1,0
16611,0.2650694893341952,False,0.12179151388161341,True,0,0,1,0
17234,0.19047619047619047,False,0.0,False,0,0,1,0
17251,0.15151515151515152,False,0.0,False,1,0,0,0
17842,0.23127035830618892,False,0.0,False,0,0,1,0
19936,0.3470948012232416,False,0.143239901071723,False,0,0,1,0
20968,0.1841136244082062,False,0.18664563617245006,False,0,0,0,1
22014,0.21842105263157896,False,0.06905943001653536,True,0,0,1,0
22240,0.1625294854784019,False,0.22357723577235772,False,0,0,1,0
23606,0.11542192046556742,False,0.0,False,0,1,0,0
24121,0.037825059101654845,False,0.0,False,0,0,1,0
24407,0.3341103341103341,True,0.05552776388194097,True,0,1,0,0
25778,0.25089269576044826,False,0.11494252873563218,False,1,0,0,0
30378,0.2713507286294087,True,0.02966512982285853,True,0,0,1,0
30892,0.2978425433117131,True,0.2490842490842491,True,1,0,0,0
31502,0.22021660649819494,False,0.5612980769230769,False,1,0,0,0
32475,0.2617594961621728,False,0.10724124360487997,False,0,0,1,0
37384,0.3,True,0.01183170720939473,True,0,0,1,0
37902,0.2380493180878909,False,0.29510309278350516,False,0,0,1,0
38228,0.17827298050139276,False,0.3888888888888889,False,0,0,1,0
38740,0.25500370644922166,False,0.0,False,0,0,1,0
39240,0.2206896551724138,False,0.06033376123234917,True,0,0,1,0
41304,0.025477707006369428,False,0.0,False,0,0,1,0
43205,0.2549467275494673,False,0.0,True,0,0,1,0
43522,0.06542056074766354,False,0.0,False,0,0,1,0
43561,0.2911593930647164,True,0.03290032340241016,True,0,0,1,0
44673,0.2204724409448819,False,0.0,False,0,0,1,0
47869,0.06802721088435375,False,0.0,False,1,0,0,0
48638,0.3835625565028792,False,0.10424085464551634,True,0,0,1,0
48706,0.15587846763540292,False,0.2235340417158599,True,0,0,1,0
48803,0.2604237867395762,False,0.07656967840735068,False,0,0,1,0
49154,0.2749570157733423,False,0.05416143872856546,True,0,0,1,0
49224,0.29735272906956556,False,0.06389600878798975,True,0,0,1,0
50846,0.041379310344827586,False,0.0,False,0,0,1,0
51430,0.5901639344262295,False,0.0,True,0,0,0,1
52083,0.2957080094626563,True,0.04192145243648742,True,0,1,0,0
52697,0.3767262971222281,True,0.0710481723553619,True,0,0,1,0
52731,0.38095238095238093,False,0.1143483709273183,False,1,0,0,0
55261,0.28622207176709547,True,0.04599169594378793,True,0,0,1,0
55792,0.12209302325581395,False,0.0,False,1,0,0,0
55893,0.12272159800249688,False,0.0,False,0,0,1,0
56830,0.0970873786407767,False,0.0,False,0,0,1,0
56972,0.18590240123934934,True,0.026041666666666668,True,0,0,1,0
57035,0.031914893617021274,False,0.0,False,0,0,1,0
57350,0.10344827586206896,False,0.0,False,0,0,0,1
57725,0.2884864165588616,False,0.12636505460218408,False,0,1,0,0
57733,0.2937633355384635,True,0.01272390686517352,True,0,0,1,0
59428,0.1831282752335384,False,0.15034965034965034,False,0,0,1,0
59575,0.2694736842105263,False,0.1638655462184874,False,0,0,1,0
60712,0.26634382566585957,False,0.0,False,0,0,1,0
60830,0.13989637305699482,False,0.0,False,0,0,1,0
60944,0.2821529745042493,False,0.06171707913229453,True,0,0,1,0
61919,0.03680981595092025,False,0.0,False,0,0,1,0
62311,0.21217744786143514,False,0.0,True,0,0,1,0
62373,0.38117307041881654,False,0.09622854278912417,True,0,0,1,0
62459,,False,0.0,False,0,0,1,0
63046,0.2411764705882353,False,0.0,False,0,0,1,0
63293,0.19462287876651155,False,0.1453305919272806,True,0,0,1,0
64333,,False,0.0,False,0,0,1,0
65429,0.20524587358129287,False,0.0,True,0,0,1,0
65886,0.21689850592478105,False,0.0,False,0,1,0,0
65968,0.3543920380787538,True,0.03956537685677609,True,0,1,0,0
66205,0.19336821022825373,True,0.10759469910275181,True,0,0,1,0
66289,0.14132762312633834,False,0.0,True,0,0,1,0
67546,0.15584415584415584,False,0.0,False,0,0,1,0
67567,0.16947040498442367,False,0.0,False,1,0,0,0
67624,0.3844287615228205,True,0.05412358854638144,True,0,0,1,0
67843,0.13642052565707133,False,0.535,False,0,0,1,0
68410,0.45041322314049587,False,0.0,False,0,0,0,1
69922,0.2159383033419023,False,0.0,True,0,0,1,0
70348,0.1834862385321101,False,0.09495943609522543,False,0,0,1,0
70381,0.19770114942528735,False,0.0,False,0,0,0,1
70436,0.31699346405228757,False,0.11252268602540835,False,0,0,1,0
70524,0.16042780748663102,False,0.0,False,0,0,1,0
70563,0.20114942528735633,False,0.0,False,0,0,1,0
70658,,False,0.0,False,0,0,1,0
71141,0.2978392715529302,True,0.03263381366599658,True,0,0,1,0
72057,0.24418319862845947,False,0.03304789938453305,True,1,0,0,0
72353,0.29146407768200294,True,0.039924403496338294,True,1,0,0,0
72776,0.26,False,0.0,False,0,0,1,0
72982,0.24334600760456274,False,0.0,False,0,0,1,0
73140,0.07670454545454546,False,0.0,False,1,0,0,0
73352,0.14339655778011945,False,0.06040901940220241,False,0,0,0,1
73384,0.18175182481751825,True,0.11555978179270307,True,0,0,1,0
73409,0.2191780821917808,False,0.0,False,1,0,0,0
73476,0.24211522739985372,False,0.13490638625288537,True,0,0,1,0
73541,0.23371647509578544,False,0.5076335877862596,False,1,0,0,0
73572,0.4138146369267651,False,0.18716892289582107,True,0,0,1,0
73793,0.3195071155848664,False,0.11474338018960445,False,0,0,1,0
74342,0.043478260869565216,False,0.0,False,0,0,1,0
74642,0.364572605561277,False,0.18098760060909289,True,0,0,1,0
75490,0.333080632447721,False,0.0,True,0,1,0,0
75761,0.15069941444372154,False,0.3643410852713178,False,0,0,1,0
77376,0.25,False,0.0,True,0,0,1,0
81495,0.23431241655540722,True,0.014201593349497749,True,0,0,1,0
89580,0.1919451585261354,False,0.3878424657534247,False,1,0,0,0
93621,0.317340644276902,False,0.0,False,1,0,0,0
93715,0.23728813559322035,False,0.0,False,1,0,0,0
93968,0.27200080754044786,True,0.02453623813632442,True,0,1,0,0
97697,0.2716049382716049,False,0.0,False,0,0,1,0
98127,0.36024844720496896,False,0.0,False,0,0,1,0
98729,0.3532501963864886,False,0.0,True,0,0,1,0
98760,0.3554539447835664,False,0.0,False,0,1,0,0
102213,0.2979506043089858,True,0.010752688172043012,True,1,0,0,0
102243,0.04950495049504951,False,0.0,False,0,0,1,0
102736,0.2994752623688156,True,0.061282193128034915,True,0,0,1,0
102896,0.2650488496690829,False,0.14902331442974165,False,0,0,1,0
103901,0.22178009238685253,False,0.0,False,0,0,0,1
103913,0.19583604424202994,True,0.3451034482758621,True,1,0,0,0
104080,0.15033058628145268,False,0.0,True,0,0,1,0
